user,sport,comment,note
DEMOJV,skiing,Didn't like it.,0
AFNYRU,cross country skiing,Would recommend.,5
MQVMXF,snowboarding,Ok!,3
SKKCCZ,ski jumping,Didn't like it.,4
PKAVPR,biathlon,Would recommend.,5
HAUVLM,curling,Ok!,2
WJTJXO,ice hockey,Would recommend.,4
TLVERQ,figure skating,Ok!,0
OQOPYS,skating,Cool,2
HKXSYG,speed skating,Superb!,5
GCEEXH,bobsled,Would recommend.,2
ZDZSRL,luge,Cool,4
PSIOAA,skeleton,Would recommend.,0
NWWQNF,banty,Would recommend.,4
ZZZHCF,broomball,Cool,1
TPOYPP,ringuette,Didn't like it.,5
YXRNMR,ice climbing,Cool,0
EPZFZT,ice speedway,Superb!,0
AFEPWQ,ice sailing,Ok!,1
KOXGKP,ice swimming,Superb!,1
FYHKFZ,running,Superb!,3
MIZKGF,hiking,Superb!,2
UNMEKY,mountain climbing,Would recommend.,0
LAQNNW,handball,Cool,0
MJLPNX,basketball,Ok!,4
CPCRYL,ultimate frisbee,Cool,4
BYRVKH,omnikin,Cool,1
EBRIME,football,Ok!,1
RHQPOF,soccer,Superb!,1
ZULWHA,field hockey,Cool,5
OGRHOM,lacrosse,Ok!,3
BNLHVJ,rugby,Ok!,3
TYLKPU,walking,Superb!,1
BYCPEF,fiching,Ok!,3
VSKCTM,rollerskating,Superb!,4
GOZEQR,camping,Would recommend.,2
WKGNBC,tennis,Didn't like it.,3
VXTVIF,badminton,Ok!,2
KPELYT,sand sled,Cool,5
YDUICD,sailing,Would recommend.,3
TZOEZZ,skiing,Would recommend.,2
CKVKWC,cross country skiing,Cool,4
XLKWCJ,snowboarding,Would recommend.,4
QGHSRZ,ski jumping,Cool,3
TKYGBF,biathlon,Cool,4
AJLTOE,curling,Cool,2
HIBJXC,ice hockey,Ok!,5
GLFAKR,figure skating,Ok!,2
ATWSOT,skating,Would recommend.,4
XCZRKA,speed skating,Cool,2
ORKGHU,bobsled,Would recommend.,3
LWCEOY,luge,Didn't like it.,0
MXJLHN,skeleton,Cool,4
WZMSUW,banty,Didn't like it.,3
ENWWRC,broomball,Cool,4
PSPQTI,ringuette,Superb!,5
CKTEKV,ice climbing,Didn't like it.,2
SHHGSJ,ice speedway,Would recommend.,0
MEHEGN,ice sailing,Superb!,0
BIXAPI,ice swimming,Didn't like it.,1
JIDFFD,running,Superb!,2
LCCGQC,hiking,Superb!,4
DOQFEK,mountain climbing,Would recommend.,3
HQXAXW,handball,Cool,3
GLAXJH,basketball,Cool,5
NXSCCM,ultimate frisbee,Ok!,4
RPNDMN,omnikin,Ok!,1
AEOAWY,football,Cool,2
FEAELH,soccer,Cool,3
BXDZAO,field hockey,Would recommend.,3
YSIBQD,lacrosse,Superb!,3
OENJCT,rugby,Would recommend.,3
DRZXUM,walking,Ok!,2
DNYKOC,fiching,Would recommend.,3
RMTEZL,rollerskating,Superb!,2
ZAJSVK,camping,Didn't like it.,0
OXYLZC,tennis,Ok!,4
JDIZRF,badminton,Ok!,1
ETQXSI,sand sled,Didn't like it.,0
VYIZQS,sailing,Would recommend.,2
RJFGRS,skiing,Cool,2
HNTVSA,cross country skiing,Cool,0
JFKNVH,snowboarding,Cool,1
ISAHMH,ski jumping,Superb!,4
HRRBRR,biathlon,Superb!,0
CFNIUY,curling,Would recommend.,2
TWFLEZ,ice hockey,Ok!,4
CISNUY,figure skating,Cool,3
TLSCWY,skating,Ok!,0
TTIHFZ,speed skating,Superb!,1
MQKIWI,bobsled,Cool,0
OACLKX,luge,Ok!,2
IDSAGT,skeleton,Superb!,5
MCKEDK,banty,Didn't like it.,3
TOAXJZ,broomball,Ok!,2
ZKQKWG,ringuette,Didn't like it.,3
ZRCMTE,ice climbing,Would recommend.,3
NGYRHB,ice speedway,Superb!,1
ZHXEPU,ice sailing,Cool,3
BUKTXC,ice swimming,Would recommend.,4
